epoch,iteration,loss,accuracy,variance,phase
1.0,200.0,128.01030048370362,0.010661644671979852,9.58605627369797e-05,train
1.0,400.0,122.51498445510865,0.010954977960476963,9.22449896614002e-05,train
1.0,600.0,120.14396059672038,0.011116178945879619,8.946596623863625e-05,train
1.0,800.0,118.60581729888916,0.011214511643988984,8.82858630978193e-05,train
1.0,1000.0,117.59580710601807,0.011296668447418879,8.698440999829151e-05,train
1.0,1200.0,116.68298398971558,0.011361955903909694,8.602952646931348e-05,train
1.0,1400.0,115.94947481972831,0.011413848172945362,8.527513101615653e-05,train
1.0,1600.0,115.38191705226899,0.01144589298446438,8.492372337508505e-05,train
1.0,1800.0,114.89669909583198,0.011478759846418869,8.462495330279514e-05,train
1.0,2000.0,114.50157186508179,0.01151344540151926,8.407801777630016e-05,train
1.0,2200.0,114.08341545798562,0.011550501580845673,8.348734400832703e-05,train
1.0,2400.0,113.73289258956909,0.01157622364697227,8.290054434651742e-05,train
1.0,2600.0,113.3948179421058,0.011600885417178445,8.247670575017031e-05,train
1.0,2800.0,113.12714048658098,0.011622046083235745,8.205446896164339e-05,train
1.0,3000.0,112.83425143686931,0.0116423874492972,8.177028734590396e-05,train
1.0,3200.0,112.58061825752259,0.011658136878778208,8.158762653541558e-05,train
1.0,3400.0,112.3449088264914,0.011675532697080257,8.124935585139026e-05,train
1.0,0.0,105.97429963462373,0.014069417233953241,7.43657442549371e-05,val
2.0,400.0,107.46749626159668,0.012054076498119362,7.215600367478193e-05,train
2.0,800.0,107.26208225250244,0.012036619426946102,7.335045077287037e-05,train
2.0,1200.0,107.52120946248372,0.012030060207704137,7.361820276910279e-05,train
2.0,1600.0,107.48544395446777,0.012059313644670748,7.403172632709123e-05,train
2.0,2000.0,107.34029396820068,0.012063310542987576,7.452313398377949e-05,train
2.0,2400.0,107.32266415278117,0.012053228796588437,7.486507852876258e-05,train
2.0,2800.0,107.27407978602818,0.012055812792638423,7.473635862005359e-05,train
2.0,3200.0,107.06429173946381,0.012066334335736763,7.444550440778085e-05,train
2.0,3600.0,107.04986840565999,0.012069730577424385,7.440269851765707e-05,train
2.0,4000.0,106.97722972488404,0.012075133479823945,7.427284984204095e-05,train
2.0,4400.0,106.87197607560591,0.012075306108880617,7.430111241056883e-05,train
2.0,4800.0,106.81458165486653,0.01208201412747242,7.415198989702741e-05,train
2.0,5200.0,106.76726860633264,0.012084639378700432,7.408364162026042e-05,train
2.0,5600.0,106.74487409591674,0.012087469268302007,7.402458232773854e-05,train
2.0,6000.0,106.64853767649333,0.012092359786468469,7.393485040760885e-05,train
2.0,6400.0,106.58756791114807,0.012098473791935401,7.378650842917439e-05,train
2.0,6800.0,106.56695867875042,0.012100436188300992,7.361915677547044e-05,train
2.0,0.0,97.14214227138422,0.014782063356824271,5.051471144521282e-05,val
3.0,600.0,103.39812297821045,0.012298808078789619,7.155824396933468e-05,train
3.0,1200.0,103.70435516357422,0.012267509206840483,7.242698465269696e-05,train
3.0,1800.0,103.60625991821288,0.012262320012374947,7.199501225057195e-05,train
3.0,2400.0,103.80015619277954,0.012269181705473415,7.097761712495354e-05,train
3.0,3000.0,103.7607465133667,0.012255899552818148,7.122561112964527e-05,train
3.0,3600.0,103.74722430547078,0.012260617597058937,7.08597418445377e-05,train
3.0,4200.0,103.7645250102452,0.012263070451970694,7.097134494967463e-05,train
3.0,4800.0,103.73922662734985,0.012266758355940688,7.07486268882227e-05,train
3.0,5400.0,103.68686408572727,0.012270289037083203,7.071713113743378e-05,train
3.0,6000.0,103.63367803573608,0.012268335019416368,7.088091486373869e-05,train
3.0,6600.0,103.6410430804166,0.012274659589686508,7.066440780392806e-05,train
3.0,7200.0,103.67724677085876,0.012277992863916225,7.063402907336381e-05,train
3.0,7800.0,103.58987787686861,0.012284150637805186,7.045229738594205e-05,train
3.0,8400.0,103.55883452006749,0.012287017684565927,7.043579293618972e-05,train
3.0,9000.0,103.52806751759847,0.012286210145494116,7.046758032341624e-05,train
3.0,9600.0,103.53202705621719,0.012284630360586761,7.0502035764064e-05,train
3.0,10200.0,103.51408149719238,0.012285166433859088,7.042463190797538e-05,train
3.0,0.0,94.74874812721187,0.014566027593358755,5.9471948199524804e-05,val
4.0,800.0,101.09302829742431,0.01242275672838243,6.95930335612711e-05,train
4.0,1600.0,100.85706550598144,0.012457848075536774,6.855044366761094e-05,train
4.0,2400.0,100.67901706695557,0.012469106685329934,6.795059635565874e-05,train
4.0,3200.0,100.45128283500671,0.01246637387089978,6.75963267271884e-05,train
4.0,4000.0,100.35484110260009,0.012481711653317492,6.680638296494751e-05,train
4.0,4800.0,100.3329668045044,0.012478659272808836,6.703619545857963e-05,train
4.0,5600.0,100.2860209437779,0.012479862570236777,6.717780258843377e-05,train
4.0,6400.0,100.25392745971679,0.012484275846848,6.691205513423023e-05,train
4.0,7200.0,100.31530508677164,0.012484530459424773,6.710927029867638e-05,train
4.0,8000.0,100.2634538192749,0.012488694875279411,6.697886303501327e-05,train
4.0,8800.0,100.3325927214189,0.012483546426304398,6.689079506704408e-05,train
4.0,9600.0,100.35765785535176,0.012481971242523602,6.694059724691567e-05,train
4.0,10400.0,100.33188853630652,0.012481852655641406,6.697270584474722e-05,train
4.0,11200.0,100.35611045837402,0.012479754931441642,6.688522188651442e-05,train
4.0,12000.0,100.35126036834717,0.012480731312435865,6.681459810747597e-05,train
4.0,12800.0,100.29661642551422,0.012484108690892939,6.669903809941645e-05,train
4.0,13600.0,100.27197962143842,0.012483497326924883,6.66698650363255e-05,train
4.0,0.0,85.80305565728082,0.014884324888354731,4.6380738044676385e-05,val
5.0,1000.0,98.06118564605713,0.012606600419451455,6.38318937909161e-05,train
5.0,2000.0,97.4199001121521,0.012608592425220413,6.478676439802278e-05,train
5.0,3000.0,97.05793849945069,0.01260850581716506,6.446736251484475e-05,train
5.0,4000.0,96.962467212677,0.012629247059631234,6.394600671677224e-05,train
5.0,5000.0,96.83160288238525,0.012634781879787976,6.362198417849177e-05,train
5.0,6000.0,96.83225727081299,0.012627653535829456,6.395468418918997e-05,train
5.0,7000.0,96.78885789598738,0.012637506089482985,6.353393485696982e-05,train
5.0,8000.0,96.81642240524292,0.012640501817173492,6.329188976751684e-05,train
5.0,9000.0,96.79654900021023,0.012643373823649778,6.3138808170444e-05,train
5.0,10000.0,96.69166040039063,0.012644241040552229,6.335621715107813e-05,train
5.0,11000.0,96.6639113443548,0.012647067991340332,6.342247635904412e-05,train
5.0,12000.0,96.65828038533529,0.01264976607780499,6.327661436761072e-05,train
5.0,13000.0,96.66317528651311,0.012649873364769672,6.327572260167104e-05,train
5.0,14000.0,96.64010457720076,0.012649092106107361,6.313159584033417e-05,train
5.0,15000.0,96.60880883789062,0.01264973684962092,6.320255495239562e-05,train
5.0,16000.0,96.60129729270935,0.012653576504328,6.31974250313643e-05,train
5.0,17000.0,96.60272186279298,0.012654227856887032,6.313044888105388e-05,train
